年/月,不含11.瓦片及紅磚之[磚瓦瓷類]指數,不含37.木門、38.木板之[木材及其製品類]指數,不含58.泵浦、62.感知器之[機電設備類]指數,不含72.玻璃製品之[雜項類]指數,不含99.挖土機租金、103.舖面機租金之[機具設備租金類]指數,不含11.瓦片及紅磚、37.木門、38.木板、58.泵浦、62.感知器、72.玻璃製品、99.挖土機租金、103.舖面機租金、[砂石及級配類]之總指數,11.瓦片及紅磚指數,37.木門指數,38.木板指數,58.泵浦指數,62.感知器指數,72.玻璃製品指數,99.挖土機租金指數,103.舖面機租金指數,砂石及級配類指數
109/06,98.80,89.50,87.72,98.16,93.68,89.15,93.47,96.42,94.69,92.53,95.34,95.76,96.20,99.52,100.95
109/07,98.60,89.32,88.49,98.16,93.68,89.17,93.47,96.42,94.12,92.53,95.34,95.76,96.20,99.52,100.92
109/08,98.70,89.33,89.16,98.21,93.76,89.55,93.47,94.88,93.72,92.53,95.34,95.76,96.20,99.52,100.96
109/09,98.79,88.77,89.60,98.20,94.18,90.22,93.47,94.88,93.41,92.53,95.34,95.95,96.20,99.52,101.15
109/10,98.95,88.69,89.81,96.55,94.38,90.49,93.47,94.88,93.26,92.53,95.34,95.77,96.20,99.52,101.15
109/11,99.06,88.60,89.92,96.60,94.47,90.98,93.47,94.88,93.37,92.53,95.34,95.77,96.37,99.52,101.15
109/12,99.06,88.94,91.08,96.68,95.08,92.49,93.47,95.39,93.57,92.53,95.34,95.77,96.45,99.66,101.15
110/01,98.51,91.72,92.53,96.82,96.16,94.74,94.87,95.75,94.65,92.72,95.34,95.77,97.90,99.66,99.83
110/02,98.51,93.08,93.43,96.96,96.86,94.77,97.08,95.98,94.96,94.21,96.54,95.77,98.17,99.71,99.92
110/03,98.55,94.54,94.88,97.20,97.88,95.85,98.71,96.25,95.21,94.21,96.54,95.77,98.17,99.71,99.92
110/04,99.29,97.14,96.78,98.09,98.27,97.26,99.12,96.44,97.70,95.72,96.54,96.61,99.06,99.71,99.94
110/05,99.65,100.37,99.67,98.92,99.51,99.59,100.00,99.64,98.60,97.76,98.31,97.24,100.42,99.91,99.95
110/06,100.57,101.74,101.94,101.44,100.08,101.29,100.60,101.38,99.84,101.35,98.31,99.37,100.51,100.10,99.99
110/07,100.57,102.35,101.72,101.80,101.00,101.94,100.80,100.99,100.60,102.30,102.24,100.01,100.51,100.10,99.99
110/08,100.82,103.11,102.31,101.98,101.57,102.22,100.93,101.90,101.64,104.05,102.98,101.45,100.75,100.10,99.99
110/09,100.83,103.42,102.62,102.30,101.85,102.47,101.77,101.90,102.82,104.05,102.98,101.62,100.75,100.10,99.99
